,Country_Name,image,Description
0,Albania,2NambtX,A staring goat and a church.
1,Albania,7yDE0,A long time ago this bunker was important meaning
2,Albania,9A5rQXR,Looks like abandon beach.
3,Albania,DR2an7h,People have come together for an some event to an antique place.
4,Albania,TzZocYt,The man pulls something from the water what he have found.
5,Albania,V3dW4Dn,"Young ladies with same kind of dresses, maybe it's their national costume."
6,Albania,ZqCU9wv,People are enjoy bright sky and sunbathing on the nice beach.
7,Albania,bicsU,Mountains and a houses in the forest.
8,Albania,ePVGARS,People are swimming and hiking along the river.
9,Albania,pUNN7,Grey day. Cloudy sky and small waves in the ocean.
10,Algeria,0fGGq,I'm speechless. Like a paradise for me.
11,Algeria,6aCY1be,"A beautiful woman with beautiful dress, in some celebration."
12,Algeria,AjChT,"Snow in the desert, unusually view for me."
13,Algeria,DDaTZ1s,"Very old lady has drawn or written something, I'd be interested what's going on there."
14,Algeria,R3hT2v0,"Looks like abandon place, just wondering what is this and what has happened."
15,Algeria,U6LOSWO,A great building which I like to check from inside too.
16,Algeria,ZTGHc,"If there wouldn't be marks on the sand, it seems like there wouldn't any life at all."
17,Algeria,joMyrTQ,"Ancient rock painting, would be interesting to know what does it mean."
18,Algeria,x6TwpSQ,Such a cute Fennec fox with big ears.
19,Algeria,ziaXx,"Old pictures are always interesting, I'd curious to hear her story behind of this picture"
20,Argentina,L1OxjHi,The person hiding behind the mask and wit the fur cap.
21,Argentina,PcO48fK,Snowy mountains in the sunset with a sun halo and reflection in the water.
22,Argentina,SJ8Lo,"Narrow sand road and sun rays, beautiful moment."
23,Argentina,Y6qMZTX,House on the island and a bridge to get there.
24,Argentina,a1C8u,A huge rocky whale in the park.
25,Argentina,cdd4N62,"Some rib and french fries in the home package, not my food, thanks."
26,Argentina,p8iAlVe,"Snowy mountains, green and calm water."
27,Argentina,vmIi3,Big river and some villages.
28,Argentina,xsBKJJ5,Lots of colorful umbrellas above the street an because of that place looks cheerful.
29,Argentina,zkahmbF,"A long straight road in the wilderness and very high mountains. If I'd be there, I wouldn't be able to watch down!"
30,Arizona,1B7CWyz,What the fuck is this? Or maybe I don't even wanna know.
31,Arizona,MrelgvY,Calm river in the middle of nowhere.
32,Arizona,PLn0Owa,Waterfall which comes from a cliff.
33,Arizona,QI4U9,Rescue personal help the victim of the cactus attack.
34,Arizona,WJxgG,Chameleon in a vet visiting.
35,Arizona,X2Cn4ZU,A big house and with a very very high fence.
36,Arizona,i56JLpa,Incredible view from bird's-eye view of big rocks with beautiful colors.
37,Arizona,lTvZAQb,Rabbits have come to drinking water.
38,Arizona,spfNPNO,View of the Milky Way between the cliffs.
39,Arizona,y5CDWGk,"Delicious and sweet dessert, yes please."
40,Australia,AoDUIXN,This might be some seafood? 
41,Australia,LX9OS,Divers swimming with a green seahorse.
42,Australia,jKLn6UE,"A purple snail in bloom, this like a painting."
43,Australia,lauGwqr,This makes me happy to see the rescuer helps the koala by giving it water.
44,Australia,lze5Ri3, Woman took a funny selfie with a kangaroo.
45,Australia,pBN3g,beautiful view from the cave to the sea.
46,Australia,qHxKANc,"Tourists photographing a huge crocodile, too close.."
47,Australia,sN6Y5WH,"Fireworks and people are celebrating a new year on the beach, a new year for my tasty."
48,Australia,u1VRFN2,Steve Irwin’s daughter has continued his father’s work with Australia’s animals.
49,Australia,x5cQT2j,Woman and cute animal staring at each other in the eyes.
50,Austria,1PxpZ,A narrow and winding road in the mountains.
51,Austria,A16u9pS,A weird statue that looks like a woman.
52,Austria,CNVj2p5,Village with beautiful lightning in a snowy landscape.
53,Austria,DNF4IWn,A diver and a tree’s branch under the water.
54,Austria,EUxZpTv,Old time picture of men drinking something.
55,Austria,MAw6Njp,"A lot of old armor, I'd like to know about this history."
56,Austria,fgb1NW8,"Some very unique Theatre, you definitely can't miss it."
57,Austria,joBhaAt,People seem surprised by the size of the portion what they got.
58,Austria,mMxSAT6,An idyllic village which invites you to visit.
59,Austria,yxczE,Unreasonable. I'd like to see this in my own eyes.
60,Bolivia,E2cJkFX,Looks like a man holding a woman with his fingertip in the salt desert.
61,Bolivia,FXLkHcD,"I can find the serious face of this stone, like someone is looking at you."
62,Bolivia,PpN8ZYn,A man preparing some local food in local restaurant and that he proudly present.
